NCT,PMID,Authors,Year,Trial name,Cancer type,Treatment regimen,Primary endpoint,trial_description,treatment_description,endpoint_description
NCT02302807,29268948,Powles T et al,2018,IMvigor211,Bladder,Atezolizumab,OS,IMvigor211 trial focused on bladder cancer.,Treatment regimen involved Atezolizumab.,The primary endpoint was Overall Survival (OS).
NCT02256436,28212060,Bellmunt J et al,2017,Keynote-045,Bladder,Pembrolizumab,OS+PFS,Keynote-045 trial focused on bladder cancer.,Patients were treated with Pembrolizumab.,The primary endpoint was Overall Survival (OS) and Progression-Free Survival (PFS).
NCT02256436,31050707,Fradet Y et al,2019,Keynote-045,Bladder,Pembrolizumab,OS+PFS,Keynote-045 trial studied patients with bladder cancer.,Patients were treated with Pembrolizumab.,The primary endpoint was Overall Survival (OS) plus Progression-Free Survival (PFS).
NCT02425891,30345906,Schmid P et al,2018,IMpassion130,Breast,Atezolizumab+Nab-paclitaxel,OS+PFS,IMpassion130 trial in breast cancer.,Treatment regimen included Atezolizumab in combination with Nab-paclitaxel.,The primary endpoints were Overall Survival (OS) and Progression-Free Survival (PFS).
NCT02685059,31095287,Loibl S et al,2019,GeparNuevo,Breast,Durvalumab+Nab-paclitaxel+epirubicin+cyclophosphamide,Path CR,GeparNuevo trial focused on breast cancer.,"Treatment involved Durvalumab, Nab-paclitaxel, epirubicin, and cyclophosphamide.",The primary endpoint was pathological complete response (path CR).
NCT02788279,31003911,Eng C et al,2019,IMblaze130,Colorectal,Atezolizumab+Cobimetinib,OS,IMblaze130 trial focused on colorectal cancer.,The treatment regimen consisted of Atezolizumab in combination with Cobimetinib.,The primary endpoint was Overall Survival (OS).
NCT02788279,31003911,Eng C et al,2019,IMblaze130,Colorectal,Atezolizumab+Cobimetinib,OS,IMblaze130 trial focused on colorectal cancer.,The treatment regimen involves the use of Atezolizumab.,The primary endpoint is Overall Survival (OS).
NCT02788279,31003911,Eng C et al (1),2019,IMblaze130,Colorectal,Atezolizumab,OS,IMblaze130 trial focused on colorectal cancer.,The treatment regimen consisted of Atezolizumab in combination with Cobimetinib.,The primary endpoint was Overall Survival (OS).
NCT02788279,31003911,Eng C et al (1),2019,IMblaze130,Colorectal,Atezolizumab,OS,IMblaze130 trial focused on colorectal cancer.,The treatment regimen involves the use of Atezolizumab.,The primary endpoint is Overall Survival (OS).
NCT01585987,28655793,Bang YJ et al,2017,,Gastric/GEJ,Ipilimumab,PFS,No trial name provided.,Treatment with Ipilimumab.,Primary endpoint was PFS (progression-free survival).
NCT02267343,28993052,Kang YK et al,2017,ATTRACTION-2,Gastric/GEJ,Nivolumab,OS,ATTRACTION-2 trial focused on patients with Gastric/GEJ cancer.,Patients received Nivolumab as a treatment regimen.,The primary endpoint of the trial was Overall Survival (OS).
NCT02625623,30052729,Bang YJ et al,2018,JAVELIN Gastric 300,Gastric/GEJ,Avelumab,OS,JAVELIN Gastric 300 is a clinical trial focusing on Gastric/GEJ cancer.,The treatment regimen involves the use of Avelumab.,The primary endpoint of the trial is Overall Survival (OS).
NCT02370498,29880231,Shitara K et al,2018,Keynote-061,Gastric/GEJ,Pembrolizumab,OS+PFS,Keynote-061 trial investigated therapies for Gastric/GEJ cancer.,Treatment regimen included Pembrolizumab.,The primary endpoints were Overall Survival (OS) and Progression-Free Survival (PFS).
NCT02252042,30509740,Cohen EEW et al,2018,KEYNOTE-040,Head and Neck ,Pembrolizumab,OS,KEYNOTE-040 is a clinical trial.,Patients were treated with Pembrolizumab.,The primary endpoint was Overall Survival (OS).
NCT02105636,27718784,Ferris RL et al,2016,CheckMate 141,Head and Neck,Nivolumab,OS,CheckMate 141 is a clinical trial. No further details provided in the context.,Patients received Nivolumab as treatment.,The primary endpoint was Overall Survival (OS).
NCT02105636,29884413,Ferris RL et al,2018,CheckMate 141,Head and Neck,Nivolumab,OS,CheckMate 141 is a trial for Head and Neck cancer.,Patients were treated with Nivolumab.,The primary endpoint was Overall Survival (OS).
NCT01668784,26406148,Motzer RJ et al,2015,CheckMate 025,Renal cell,Nivolumab,OS,CheckMate 025 trial focused on renal cell carcinoma.,Patients were treated with Nivolumab.,The primary endpoint was overall survival (OS).
NCT01984242,29867230,McDermott DF et al,2018,IMmotion150,Renal cell,Atezolizumab,PFS,IMmotion150 is a trial for renal cell carcinoma.,The treatment regimen involves Atezolizumab.,The primary endpoint is Progression-Free Survival (PFS).
NCT01984242,29867230,McDermott DF et al,2018,IMmotion150,Renal cell,Atezolizumab,PFS,IMmotion150 trial in renal cell carcinoma.,Treatment regimen involved Atezolizumab combined with Bevacizumab.,Primary endpoint was Progression-Free Survival (PFS).
NCT01984242,29867230,McDermott DF et al (1),2018,IMmotion150,Renal cell,Atezolizumab+Bevacizumab,PFS,IMmotion150 is a trial for renal cell carcinoma.,The treatment regimen involves Atezolizumab.,The primary endpoint is Progression-Free Survival (PFS).
NCT01984242,29867230,McDermott DF et al (1),2018,IMmotion150,Renal cell,Atezolizumab+Bevacizumab,PFS,IMmotion150 trial in renal cell carcinoma.,Treatment regimen involved Atezolizumab combined with Bevacizumab.,Primary endpoint was Progression-Free Survival (PFS).
NCT02231749,29562145,Motzer RJ et al,2018,CheckMate 214,Renal cell,Nivolumab+Ipilimumab,OS+PFS+ORR,CheckMate 214 trial investigated therapies for renal cell carcinoma.,Patients received a combination treatment of nivolumab and ipilimumab.,"The primary endpoints were overall survival (OS), progression-free survival (PFS), and objective response rate (ORR)."
