NCT,PMID,Authors,Year,Type of therapy,is_combination
NCT02425891,30345906,Schmid P et al,2018,Combination,True
NCT02685059,31095287,Loibl S et al,2019,Combination,True
NCT01042379,32053137,Nanda R et al,2019,Combination,True
NCT02425891,31786121,Schmid P et al,2019,Combination,True
NCT03036488,32101663,Schmid P et al,2020,Combination,True
NCT03051659,32880602,Tolaney SM et al,2020,Combination,True
NCT02819518,33278935,Cortes J et al,2020,Combination,True
NCT03197935,32966830,Mittendorf EA et al,2020,Combination,True
NCT02924883,33002436,Emens LA et al,2020,Combination,True
NCT02299999,33462450,Bachelot T et al,2021,Monotherapy,False
NCT02555657,33676601,Winer PE et al,2021,Monotherapy,False
